user;word_pl;lang;translation;correct;time
pf;być dłużnym (komuś);latin;dēbeō;True;2023-05-02 17:38:16
pf;wiatr;latin;ventus;True;2023-05-02 17:38:18
pf;burza;latin;procella;True;2023-05-02 17:38:20
pf;także;latin;quoque;True;2023-05-02 17:38:23
pf;praca;latin;negotium;False;2023-05-02 17:38:26
pf;klaskać;latin;plaudō;True;2023-05-02 17:38:30
pf;podobać się, być lubianym;latin;placeō;True;2023-05-02 17:38:32
pf;dawać;latin;do;True;2023-05-02 17:38:34
pf;pilny, pracowity;latin;sēdulus;True;2023-05-02 17:38:36
pf;bogactwa;latin;divitiae;True;2023-05-02 17:38:42
pf;budować;latin;struō;True;2023-05-02 17:38:44
pf;zaś;latin;autem;True;2023-05-02 17:38:48
pf;mieszkać;latin;habitō;True;2023-05-02 17:38:58
pf;starać się;latin;studeo;True;2023-05-02 17:39:01
pf;chwalić;latin;laudō;True;2023-05-02 17:39:03
pf;mieć;latin;habeo;True;2023-05-02 17:39:08
pf;rozgłaszać;latin;celebrō;True;2023-05-02 17:39:10
pf;robotnik;latin;operarius;True;2023-05-02 17:39:12
pf;bogaty;latin;opulentus;False;2023-05-02 17:39:15
pf;bowiem;latin;enim;True;2023-05-02 17:39:18
pf;mały;latin;parvus;True;2023-05-02 17:39:21
pf;unikać;latin;vītō;True;2023-05-02 17:39:24
pf;bogaty;latin;opulentus;True;2023-05-02 17:39:26
pf;praca;latin;negotium;True;2023-05-02 17:39:33
pf;żeglować;latin;nāvigo;True;2023-05-02 17:39:35
pf;zboże;latin;frūmentum;True;2023-05-02 17:39:39
pf;trudno;latin;difficile;True;2023-05-02 17:39:41
pf;bogaty;latin;opulentus;True;2023-05-04 09:02:13
pf;także;latin;quoque;True;2023-05-04 09:02:18
pf;wtedy, następnie;latin;tum;True;2023-05-04 09:02:20
pf;mylić się;latin;erro;True;2023-05-04 09:02:22
pf;uprawiać;latin;colo;True;2023-05-04 09:02:24
pf;szczęśliwy;latin;beātus;True;2023-05-04 09:02:26
pf;oddawać się czemuś, zajmować się czymś (+ dat);latin;studeo;True;2023-05-04 09:02:30
pf;lecz;latin;sed;True;2023-05-04 09:02:32
pf;mieszkaniec;latin;incola;True;2023-05-04 09:02:34
pf;często;latin;saepe;True;2023-05-04 09:02:36
pf;przygotowywać;latin;paro;True;2023-05-04 09:02:38
pf;przez (+ acc);latin;per;True;2023-05-04 09:02:42
pf;oszczędność;latin;parsimonia;True;2023-05-04 09:02:48
pf;czcić;latin;colo;True;2023-05-04 09:02:49
pf;orać;latin;aro;True;2023-05-04 09:02:54
pf;pragnąć;latin;cupio;True;2023-05-04 09:03:05
pf;jednomyślny, zgodny;latin;ūnanimus;True;2023-05-04 09:03:08
pf;ponieważ;latin;quia;True;2023-05-04 09:03:12
pf;dowozić;latin;adveho;True;2023-05-04 09:03:16
pf;patrzeć, widzieć;latin;spectō;True;2023-05-04 09:03:20
pf;dobrze;latin;bene;True;2023-05-04 09:03:23
pf;zawsze;latin;semper;True;2023-05-04 09:03:30
pf;rzeka;latin;fluvius;True;2023-05-04 09:03:33
pf;tam;latin;ibi;True;2023-05-04 09:03:36
pf;czynić, pędzić;latin;ago;True;2023-05-04 09:03:38
pf;dostarczać, przynosić;latin;praebeo;True;2023-05-04 09:03:42
pf;znany;latin;notus;True;2023-05-04 09:03:44
pf;wiatr;latin;ventus;True;2023-05-04 09:03:47
pf;bardzo;latin;valdē;True;2023-05-04 09:03:51
pf;bawić się;latin;lūdō;True;2023-05-04 09:03:53
pf;odpoczynek;latin;ōtium;True;2023-05-04 09:03:56
pf;bać się;latin;timeō;True;2023-05-04 09:03:59
pf;i;latin;atque;True;2023-05-04 09:04:02
pf;zawdzięczać (coś komuś);latin;dēbeō;False;2023-05-04 09:04:05
pf;rzemieślnik;latin;faber;True;2023-05-04 09:04:14
pf;pilność;latin;dīligentia;True;2023-05-04 09:04:18
pf;karać;latin;castīgo;True;2023-05-04 09:04:20
pf;zawdzięczać (coś komuś);latin;dēbeō;True;2023-05-04 09:04:23
pf;zaś;latin;autem;True;2023-05-04 09:04:24
pf;rzadki, mało kto;latin;rarus;True;2023-05-04 09:04:26
pf;zdobywać;latin;paro;False;2023-05-04 09:04:42
pf;z (kim, czym) (+ abl);latin;cum;True;2023-05-04 09:04:45
pf;pilny, pracowity;latin;sēdulus;True;2023-05-04 09:04:48
pf;winnica;latin;vinea;True;2023-05-04 09:04:50
pf;unikać;latin;vītō;True;2023-05-04 09:04:53
pf;jednak;latin;tamen;True;2023-05-04 09:04:55
pf;bogactwa;latin;divitiae;True;2023-05-04 09:05:00
pf;umieć;latin;scio;False;2023-05-04 09:05:06
pf;w (+ abl);latin;in;True;2023-05-04 09:05:08
pf;praca;latin;negotium;True;2023-05-04 09:05:13
pf;umieć;latin;scio;True;2023-05-04 09:05:15
pf;handel;latin;mercātūra;True;2023-05-04 09:05:18
pf;gdzie;latin;ubi;True;2023-05-04 09:05:20
pf;zabijać na ofiarę;latin;macto;True;2023-05-04 09:05:23
pf;burza;latin;procella;True;2023-05-04 09:05:26
pf;zdobywać;latin;paro;True;2023-05-04 09:05:28
pf;wsiadać, dosiadać (+ acc);latin;conscendō;True;2023-05-04 09:05:30
pf;uczyć, nauczać;latin;doceo;True;2023-05-04 09:05:33
pf;zwierzę pociągowe;latin;iūmentum;True;2023-05-04 09:05:36
pf;więc;latin;ĭtăquĕ;False;2023-05-04 09:05:38
pf;być;latin;sum;True;2023-05-04 09:05:45
pf;spieszyć się, spieszyć;latin;properō;True;2023-05-04 09:05:47
pf;rola, pole;latin;ager;True;2023-05-04 09:05:49
pf;ciągły, trwały, wieczny;latin;sempiternus;True;2023-05-04 09:05:52
pf;robotnik;latin;operarius;True;2023-05-04 09:05:55
pf;sprzedawać;latin;vendo;True;2023-05-04 09:05:58
pf;być dłużnym (komuś);latin;dēbeō;True;2023-05-04 09:06:01
pf;miły;latin;gratus;True;2023-05-04 09:06:04
pf;urodzajny;latin;fēcundus;True;2023-05-04 09:06:06
pf;ciągnąć, pociągać;latin;traho;True;2023-05-04 09:06:08
pf;twierdzić;latin;affirmo;True;2023-05-04 09:06:11
pf;budynek;latin;aedeficium;True;2023-05-04 09:06:16
pf;pokazywać;latin;monstrō;True;2023-05-04 09:06:20
pf;czytać;latin;legō;True;2023-05-04 09:06:21
pf;do (+ acc);latin;in;True;2023-05-04 09:06:25
pf;mały;latin;parvus;True;2023-05-04 09:06:27
pf;jeśli;latin;sī;True;2023-05-04 09:06:29
pf;lub;latin;aut;True;2023-05-04 09:06:32
pf;rzecz ludzka;latin;humanum;True;2023-05-04 09:06:35
pf;żeglarz;latin;nauta;True;2023-05-04 09:06:41
pf;klaskać;latin;plaudō;True;2023-05-04 09:06:46
pf;więc;latin;ĭtăquĕ;True;2023-05-04 09:06:51
pf;sąsiedzi;latin;fīnitimī;True;2023-05-04 09:06:54
pf;chętnie;latin;libenter;True;2023-05-04 09:06:58
pf;ukazywać się;latin;appareo;True;2023-05-04 09:07:13
pf;zgoda;latin;concordia;True;2023-05-04 09:07:16
pf;widzieć;latin;video;True;2023-05-04 09:07:18
pf;troska;latin;cūra;True;2023-05-04 09:07:20
pf;doświadczony;latin;perītus;True;2023-05-04 09:07:22
pf;odpowiedni, nadający się;latin;idōneus;True;2023-05-04 09:07:33
pf;troszczyć się, dbać (o coś + dat);latin;cūrō;True;2023-05-04 09:07:36
pf;już;latin;iam;True;2023-05-04 09:07:39
pf;mieszkać;latin;habitō;True;2023-05-04 09:07:42
pf;zazdrościć (komus + dat);latin;invideo;True;2023-05-04 09:07:45
pf;tylko;latin;tantum;True;2023-05-04 09:07:48
pf;uczyć się;latin;discō;True;2023-05-04 09:07:51
pf;pomagać, być pożytecznym;latin;prōsum;True;2023-05-04 09:07:57
pf;starać się;latin;studeo;True;2023-05-04 09:08:00
pf;składać ofiarę;latin;sacrifico;True;2023-05-04 09:08:03
pf;być zdrowym, mieć się dobrze;latin;valeō;True;2023-05-04 09:08:09
pf;zostawać;latin;maneo;True;2023-05-04 09:08:11
pf;dawać;latin;do;True;2023-05-04 09:08:13
pf;nigdy;latin;numquam;True;2023-05-04 09:08:16
pf;zmieniać;latin;mūto;False;2023-05-04 09:08:18
pf;rozgłaszać;latin;celebrō;True;2023-05-04 09:08:21
pf;podobać się, być lubianym;latin;placeō;True;2023-05-04 09:08:24
pf;chwalić;latin;laudō;True;2023-05-04 09:08:26
pf;bowiem;latin;enim;True;2023-05-04 09:08:28
pf;żeglować;latin;nāvigo;True;2023-05-04 09:08:32
pf;mieć;latin;habeo;True;2023-05-04 09:08:34
pf;zboże;latin;frūmentum;True;2023-05-04 09:08:36
pf;dziecko;latin;liber;True;2023-05-04 09:08:39
pf;zmieniać;latin;mūto;True;2023-05-04 09:08:41
pf;trudno;latin;difficile;True;2023-05-04 09:08:44
pf;budować;latin;struō;True;2023-05-04 09:08:46
pf;zawdzięczać (coś komuś);latin;dēbeō;True;2023-05-04 15:39:08
pf;pilność;latin;dīligentia;True;2023-05-04 15:39:11
pf;sprzedawać;latin;vendo;True;2023-05-04 15:39:13
pf;także;latin;quoque;False;2023-05-04 15:39:16
pf;oddawać się czemuś, zajmować się czymś (+ dat);latin;studeo;True;2023-05-04 15:39:22
pf;mylić się;latin;erro;True;2023-05-04 15:39:26
pf;uczyć się;latin;discō;True;2023-05-04 15:39:31
pf;karać;latin;castīgo;True;2023-05-04 15:39:34
pf;troszczyć się, dbać (o coś + dat);latin;cūrō;True;2023-05-04 15:39:37
pf;być zdrowym, mieć się dobrze;latin;valeō;True;2023-05-04 15:39:42
pf;pilny, pracowity;latin;sēdulus;True;2023-05-04 15:40:17
pf;rzadki, mało kto;latin;rarus;True;2023-05-04 15:40:19
pf;bawić się;latin;lūdō;True;2023-05-04 15:40:21
pf;przez (+ acc);latin;per;True;2023-05-04 15:40:22
pf;mały;latin;parvus;True;2023-05-04 15:40:24
pf;wsiadać, dosiadać (+ acc);latin;conscendō;True;2023-05-04 15:40:27
pf;uczyć się;latin;discō;True;2023-05-04 15:40:33
pf;zaś;latin;autem;True;2023-05-04 15:40:35
pf;w (+ abl);latin;in;True;2023-05-04 15:59:52
